# Current abbreviations calculated in build priority: BGG ID, owned/direct name, then first two characters.
# game_name	bgg_id	abbr	source
몰타의관문	181960	몰타	fallback 사용
문명의시대	264647	문시	ID 명시 약칭
뮤제	234396	뮤제	fallback 사용
미노다이스	191071	미노	fallback 사용
미드가르드의챔피언	172287	미가챔	ID 명시 약칭
밀레니엄블레이즈	151347	밀블	ID 명시 약칭
바람의부족	362986	바람	fallback 사용
바르셀로나 (영)	383607	바르셀	ID 명시 약칭
바퀴벌레포커	11971	바퀴	fallback 사용
반디도	191925	반디	fallback 사용
반지의제왕 가운데땅여정	269385	반지여	ID 명시 약칭
반지의제왕가운데땅에서의대결	421006	반듀	ID 명시 약칭
반지전쟁	9609	반전쟁	ID 명시 약칭
방방곡곡 세계유랑	230667	방방	fallback 사용
배틀쉽	54137	배쉽	ID 명시 약칭
배틀콘 인다인즈의유린	123123	배틀콘	ID 명시 약칭
백로성	371942	백로	ID 명시 약칭
백로성대결	438936	백듀	ID 명시 약칭
뱀파이어퀸	191073	뱀파퀸	ID 명시 약칭
뱅	3955	뱅	fallback 사용
뱅 주사위	143741	뱅 	fallback 사용
버건디의성 20주년	84876	버건디	ID 명시 약칭
버라지 (+레이흐바터르 + 나일강 확장)	251247	버라지	ID 명시 약칭
번레이트	3341	번레	fallback 사용
범고래고래	388413	범고	fallback 사용
베일오브이터니티	385529	베오이	ID 명시 약칭
베티보터보우트썸버터	426314	베티	fallback 사용
벨라티	259374	벨라	fallback 사용
벨에포크파리	282954	벨에	fallback 사용
보난자	11	보난	fallback 사용
보랏못리라이트 (머더미스터리미니)	379873	보랏빛	ID 명시 약칭
보타닉가든	334065	보타	fallback 사용
보틀임프	619	보틀	fallback 사용
본파이어 빅박스	304420	본파	fallback 사용
봄버스터즈	413246	봄버	fallback 사용
봉잡았다	351809	봉잡	fallback 사용
부루마불 클래식	10506	부루	fallback 사용
북쪽숲을 위하여	334590	북쪽숲	ID 명시 약칭
분레이크	343905	분레	fallback 사용
분수(영)	440509	분수	ID 명시 약칭
붉은대성당	227224	붉은	fallback 사용
붑	355433	붑	fallback 사용
브라스 버밍엄	224517	버밍엄	ID 명시 약칭
브라질:임페리얼	249277	브라질	ID 명시 약칭
브레인토피아	206175	브레	fallback 사용
브뤼셀1897	275913	브뤼셀	ID 명시 약칭
블랙소나타	231218	블소	ID 명시 약칭
블랙아웃홍콩	262215	블랙아	ID 명시 약칭
블랙프라이데이	39242	블프	ID 명시 약칭
블러드바운드	130877	블바	ID 명시 약칭
블로커스3D	6411	블로	fallback 사용
블리츠	67877	블리츠	ID 명시 약칭
블리츠크리그	258210	블크	ID 명시 약칭
비티컬처 에센셜	183394	비티	fallback 사용
빅샷	1125	빅샷	fallback 사용
빌라봉	464	빌라	fallback 사용
빌리저	241724	빌리저	ID 명시 약칭
빌리지 빅박스	365056	빌리지	ID 명시 약칭
사그라다	199561	사그	fallback 사용
사라진속옷과 하늘을나는물고기	350586	사라	fallback 사용
사보타지	9220	사보	fallback 사용
사이드 (준풀확)	169786	사이드	ID 명시 약칭
사이베리온	376893	사이베	ID 명시 약칭
산타마리아	229220	산타	fallback 사용
생츄어리 아크노바게임	441696	생츄	fallback 사용
섀도우레이더스	288098	섀도	fallback 사용
서머너워즈	332800	서머	fallback 사용
서스펙트게임 : 클로즈드 서클 미스터리	322785	서스	ID 명시 약칭
서스펙트게임 리로드	322785	서스	ID 명시 약칭
서쪽왕국의건축가	236457	서왕건	ID 명시 약칭
서쪽왕국의성기사	266810	서왕성	ID 명시 약칭
서퍼사우르스맥스	394887	서퍼	fallback 사용
석기시대	34635	석기	fallback 사용
선물입니다	420887	선물	fallback 사용
선셋오버워터	224904	선셋	fallback 사용
성투	760	성투	fallback 사용
세븐원더스 대결 + 판테온 확장	173346	세듀	ID 명시 약칭
세트	1198	세트	fallback 사용
세티	418059	세티	fallback 사용
센추리1 향신료의 길	209685	센추1	ID 명시 약칭
센추리2 동방의 바다	242574	센추2	ID 명시 약칭
셀레스티아 빅박스	175117	셀레	fallback 사용
셜록13	149869	셜록	fallback 사용
솔튼씨	402663	솔튼	fallback 사용
쇼텐토텐	372	쇼텐	fallback 사용
수목원 (영)	140934	수목원	ID 명시 약칭
수상한생선들	359893	수상	fallback 사용
숲속의음악대	999	숲속	fallback 사용
슈뢰딩거의고양이	172235	슈뢰	fallback 사용
스릴팡	9539	스릴	fallback 사용
스위스사는스미스씨	418896	스위	fallback 사용
스카우트	291453	스카웃	ID 명시 약칭
스카이마인	359438	스카마	ID 명시 약칭
스카이섬	176494	스카섬	ID 명시 약칭
스카이팀 + 난기류확장	373106	스카팀	ID 명시 약칭
스컬	92415	스컬	ID 명시 약칭
스컬퀸	423432	스컬퀸	ID 명시 약칭
스컬킹	150145	스컬킹	ID 명시 약칭
스크래블 딜럭스	320	스크	fallback 사용
스키티아의침략자	301880	스키	fallback 사용
스타워즈 덱빌딩	374173	스타덱	ID 명시 약칭
스타워즈에픽듀얼	3284	에픽듀	ID 명시 약칭
스타트업스	223770	스타트	ID 명시 약칭
스탁파일	161614	스탁	fallback 사용
스트라테고 퀵배틀	197108	스트	fallback 사용
스파이vs스파이	299569	스파vs	ID 명시 약칭
스파이시	299169	스파시	ID 명시 약칭
스파이폴	166384	스파폴	ID 명시 약칭
스파이폴2	193308	스파폴2	ID 명시 약칭
스페이스 크루	284083	스페	fallback 사용
스플렌더	148228	스플	ID 명시 약칭
스플렌더 대결	364073	스듀	ID 명시 약칭
스플렌더 마블	293296	마블렌더	ID 명시 약칭
스플렌더 찬란한도시확장	220653	스플	ID 명시 약칭
스플렌더 포켓몬	406291	포플렌더	ID 명시 약칭
슬리핑퀸즈	17053	슬리	fallback 사용
시간을달리는트라이앵글 (머더미스터리미니 )	379872	시간	fallback 사용
시계탑에흐른피	240980	시계탑	ID 명시 약칭
시냅스챌린지2	251481	시냅스	ID 명시 약칭
시볼루션	400602	시볼	fallback 사용
시즌스 (+마법에걸린왕국, 운명의길 확장)	108745	시즌스	ID 명시 약칭
시체와온천 (머더미스터리미니)	370748	시체	fallback 사용
시퀀스 해리포터	2375	시퀀스	ID 명시 약칭
시타델	205398	시타	fallback 사용
시티체이스	346625	시티	fallback 사용
실버 아뮬렛	278553	실버	ID 명시 약칭
썬플라워밸리	228390	썬플	fallback 사용
쓰루디에이지스 신판	182028	쓰루	ID 명시 약칭
아그리콜라	31260	아콜	ID 명시 약칭
아그리콜라 크고작은생물들 + 확장	119890	크작생	ID 명시 약칭
아노1800	311193	아노	fallback 사용
아르낙의잊혀진유적	312484	아르낙	ID 명시 약칭
아를의평원	159675	아를	ID 명시 약칭
아발론 클래식	526	아발론	ID 명시 약칭
아브라카왓	163930	아브	fallback 사용
아야르	429438	아야	fallback 사용
아임더보스	115	아임	fallback 사용
아줄	230802	아줄	fallback 사용
아컴호러카드게임 + 던위치 확장	205637	아딱	ID 명시 약칭
아쿠아티카	283393	아쿠	fallback 사용
아크노바 + 마린월드 확장	342942	아크	ID 명시 약칭
아크로폴리스	357563	아크로	ID 명시 약칭
아키텍추라	256390	아키	fallback 사용
악마성의마차	25951	악마	fallback 사용
알렉산드리아 도서관	432834	알렉	fallback 사용
알마마터	299960	알마	fallback 사용
알케미스트 (왕의골렘 합본)	161970	알케미	ID 명시 약칭
암스테르담	314582	암스	fallback 사용
애꾸눈선장룰렛게임		애꾸	fallback 사용
액시스앤얼라이어스1941 (영)	123185	액시41	ID 명시 약칭
액시스앤얼라이어스1942 (영)	41863	액시42	ID 명시 약칭
야옹섬	281259	야옹	fallback 사용
야채주식	328211	야채	fallback 사용
양적완화(Q.E.)	266830	양적	fallback 사용
어비스	155987	어비	fallback 사용
어센션	69789	어센	fallback 사용
어스	350184	어스	fallback 사용
언더워터시티즈	247763	언워시	ID 명시 약칭
언더워터항해기	328251	항해기	ID 명시 약칭
언더폴링스카이즈	306735	언폴스	ID 명시 약칭
언락:철가면을찾아서	5556	철가면	ID 명시 약칭
언락1	213460	언락1	ID 명시 약칭
언락2	228867	언락2	ID 명시 약칭
언락3	239307	언락3	ID 명시 약칭
언락5	266121	언락5	ID 명시 약칭
언락6	279613	언락6	ID 명시 약칭
언락7	294612	언락7	ID 명시 약칭
언매치드	274637	언매	fallback 사용
얼티밋레일로드	329591	얼레	ID 명시 약칭
에메랄드스컬	421762	에메	fallback 사용
에버델	199792	에버델	ID 명시 약칭
에버델듀오	425005	에듀	ID 명시 약칭
에에스오브스페이드	429861	에오스	ID 명시 약칭
에이다		에이다	이름 정본
에이다의꿈	413469	에다꿈	ID 명시 약칭
에이언즈 엔드	191189	에엔	ID 명시 약칭
에이전트애비뉴	422732	에비뉴	ID 명시 약칭
에이지오브스팀	4098	에오스	ID 명시 약칭
에즈라와 느헤미아	386368	에즈라	ID 명시 약칭
엑시트 버려진오두막	203420	엑시트	ID 명시 약칭
엑시트 불길한고성	226520	엑시트	ID 명시 약칭
엑시트 연구실의비밀	203417	엑시트	ID 명시 약칭
엑시트 저주받은 섬	215841	엑시트	ID 명시 약칭
엔데버 대항해시대	233398	엔데버	ID 명시 약칭
엔데버심해	367966	심해	ID 명시 약칭
엔들리스윈(+확장2)	305096	엔들	fallback 사용
엘더베일의거처	271055	엘더	fallback 사용
엘드리치호러 (+확장)	146021	엘드	fallback 사용
엘리베이터앞에서	278751	엘리베	ID 명시 약칭
영리한여우	244522	영리	fallback 사용
영웅을빌려줘	135116	영웅	fallback 사용
옛날옛적에	1234	옛날	fallback 사용
오 미우바우	311031	오 	fallback 사용
오딘	406854	오딘	ID 명시 약칭
오딘을위하여 + 노르웨이 사람들 확장 + 소형확장1	177736	오딘	ID 명시 약칭
오라파마인	424152	오라파	ID 명시 약칭
오를레앙+확장2	164928	오를	ID 명시 약칭
오를로이	429405	오를로	ID 명시 약칭
오리진스+확장	322588	오리	fallback 사용
오버부킹	354328	오버	fallback 사용
오스티아	347767	오스	fallback 사용
오토배틀 챌린저스	359970	오토	fallback 사용
오하나미	270314	오하	fallback 사용
온마스	184267	온마	ID 명시 약칭
왓츠잇투야	5772	왓츠	fallback 사용
왕국의수도 프라하	308765	프라하	ID 명시 약칭
요람에서무덤까지	371787	요람	fallback 사용
요코하마	196340	요코	fallback 사용
요트다이스	2243	요트	fallback 사용
용사가죽었다(미스터리파티시리즈)		용사	fallback 사용
우노(포켓몬우노)	37330	우노	ID 명시 약칭
우드크래프트	355093	우드	fallback 사용
우봉고 3D프로	46396	우봉고	ID 명시 약칭
우봉고3D	269971	우봉고	ID 명시 약칭
우봉고미니	28258	우봉고	ID 명시 약칭
워드캡처	322204	워드	ID 명시 약칭
워드캡처 티키타카	375815	워티	ID 명시 약칭
워체스트	249259	워체	fallback 사용
워터게이트	274364	워터게	ID 명시 약칭
워터딥의군주들	110327	워터딥	ID 명시 약칭
원더랜드워 풀확	227935	원워	ID 명시 약칭
원더볼링	392842	원더볼	ID 명시 약칭
원더풀월드 + 부폐와진보 확장 + 전쟁과 평화 확장	271324	원더월	ID 명시 약칭
원더풀킹덤	327711	원더킹	ID 명시 약칭
원덱던전 + 스토리즈 확장	179275	원덱	fallback 사용
원드러스크리처	400366	원크	ID 명시 약칭
웨일스트리트 + 전용매트	396995	웨일	fallback 사용
웬디어른이되렴(머더미스터리미니)	370749	웬디	ID 명시 약칭
웰컴백투더던전	195043	웰컴던	ID 명시 약칭
웰컴투	233867	웰컴투	ID 명시 약칭
웰컴투더문	339789	웰컴문	ID 명시 약칭
위대한로렌초	203993	로렌초	ID 명시 약칭
위자드	1465	위자	fallback 사용
위치스톤	318560	위치	fallback 사용
윈드밀밸리	403441	윈드	fallback 사용
윙스팬 + 아시아 + 오세아니아	266192	윙스팬	ID 명시 약칭
유포리아+확장	133848	유포	fallback 사용
육식동물짓이야	451594	육식	fallback 사용
이매진	191894	이매	fallback 사용
이베큐에이션	382843	이베큐	ID 명시 약칭
이봐그건내물고기야(영)	8203	이봐	fallback 사용
이스탄불 주사위게임	235488	이탄주	ID 명시 약칭
이지컴이지고	10672	이지컴	ID 명시 약칭
익스플로딩키튼	172225	익스	fallback 사용
인더스트리아	8124	인더	fallback 사용
인사이더	206051	인사	ID 명시 약칭
인사이더블랙	307997	인사블	ID 명시 약칭
인사이드잡	324914	인사잡	ID 명시 약칭
인생게임	2921	인생	fallback 사용
인쉬	155821	인쉬	fallback 사용
임페리얼스팀	338760	임페	fallback 사용
임호텝	191862	임호	ID 명시 약칭
임호텝 대결	255674	임듀	ID 명시 약칭
잉카의황금	15512	잉카	fallback 사용
자금성 디럭스	250458	자금성	ID 명시 약칭
자반도르의셉터	13884	자반	fallback 사용
자이푸르	54043	자이	fallback 사용
잠만보다이스	411245	잠만보	ID 명시 약칭
재치와눈치	66588	재치	fallback 사용
저스트원	254640	저스	fallback 사용
전국 첫번째제국	381819	전국	ID 명시 약칭
전지적추리시점	400995	전지	fallback 사용
점박이	372559	점박	fallback 사용
정령섬 + 가지와발톱 확장	162886	정령섬	ID 명시 약칭
제왕의깃발	287084	깃발	ID 명시 약칭
제왕의불꽃	313261	불꽃	ID 명시 약칭
젝스님트	432	젝스	fallback 사용
젠가	2452	젠가	fallback 사용
젬블로	19427	젬블	fallback 사용
좀비사이드 무기를 들어라	364792	좀비	fallback 사용
종이와바다	367220	종이	fallback 사용
죄와벌의도서관(미스터리파티시리즈)	11612	죄와	fallback 사용
줄로레또	27588	줄로	fallback 사용
지킬&하이드&스코틀랜드야드	377793	지킬	fallback 사용
차가운그녀가눈을뜨기전에	326054	차그녀	ID 명시 약칭
차이나타운	47	차이	fallback 사용
챠오챠오	1163	챠오	fallback 사용
첫번째화성인	192455	화성인	ID 명시 약칭
체스	171	체스	fallback 사용
촐킨	126163	촐킨	fallback 사용
치킨차차 미니	3570	치킨	fallback 사용
칠교신도시	391497	칠교	fallback 사용
카나가와	200147	카나	fallback 사용
카네기	310873	카네	fallback 사용
카르카손 20주년 기념판	822	카르	ID 명시 약칭
카르페디엠	245934	카르페	ID 명시 약칭
카리바	84732	카리	fallback 사용
카멜레온	227072	카멜레	ID 명시 약칭
카멜업2판	260605	카멜업	ID 명시 약칭
카베르나 + 잊힌종족 확장	102794	카베	ID 명시 약칭
카베르나 동대동	220520	동대동	ID 명시 약칭
카보	271321	카보	fallback 사용
카이사르	338957	카이	fallback 사용
카탄(영) + 기사,56인 확장	13	카탄	ID 명시 약칭
카후나	394	카후	fallback 사용
캐노피	295607	캐노	fallback 사용
캐스캐디아	295947	캐캐	ID 명시 약칭
캐슬콤보	416851	캐슬	fallback 사용
캐시앤건즈	155362	캐시	fallback 사용
캘리코	283155	캘리	fallback 사용
캡틴블랙잭	183528	캡틴	fallback 사용
캣레이디	228504	캣레	fallback 사용
커피러시	377061	커피	fallback 사용
컬러레또	5782	컬러	fallback 사용
케일러스1303	284818	케일	fallback 사용
코덱스	314503	코덱	fallback 사용
코드네임	178900	코드	ID 명시 약칭
코드네임 듀엣	224037	코듀	ID 명시 약칭
코드네임(영어)	178900	코드	ID 명시 약칭
코드네임픽처스	198773	코드픽	ID 명시 약칭
코티지가든	204027	코티지	ID 명시 약칭
콘셉트	147151	콘셉	fallback 사용
콩코르디아 + 비너스 확장	124361	콩코	fallback 사용
콰이어트하우스	411396	콰이	fallback 사용
쿠	131357	쿠	ID 명시 약칭
